Petfinder-ID,Name,Size,Gender,Age,Color,Breed,Category_x,Intelligence-Ranking_x,Intelligence-Category_x,Size-Category_x,Longevity_x,Total-Cost($)_x,Purchase-Cost($)_x,Food-Cost($)_x,Category_y,Intelligence-Ranking_y,Intelligence-Category_y,Size-Category_y,Longevity_y,Total-Cost($)_y,Purchase-Cost($)_y,Food-Cost($)_y,Cost-Category_x,Category,Intelligence-Ranking,Intelligence-Category,Size-Category,Longevity,Total-Cost($),Purchase-Cost($),Food-Cost($),Cost-Category_y
69728185,CEDAR,Small,Male,Adult,Golden,Norwich Terrier,Terrier,38,Above-Average,Small,11.48,18078,1245,3809,Terrier,38,Above-Average,Small,11.48,18078,1245,3809,High-End,Terrier,38,Above-Average,Small,11.48,18078,1245,3809,Budget
69734370,Penny,Small,Female,Adult,Apricot,Parson Russell Terrier,Terrier,44,Average,Small,11.48,18078,528,3809,Terrier,44,Average,Small,11.48,18078,528,3809,High-End,Terrier,44,Average,Small,11.48,18078,528,3809,Budget
69736096,Spencer,Small,Male,Young,Black,Parson Russell Terrier,Terrier,44,Average,Small,11.48,18078,528,3809,Terrier,44,Average,Small,11.48,18078,528,3809,High-End,Terrier,44,Average,Small,11.48,18078,528,3809,Budget
69736122,Macho,Small,Male,Young,Apricot,Chihuahua,Toy,67,Fair,Small,16.5,22640,588,4594,Toy,67,Fair,Small,16.5,22640,588,4594,High-End,Toy,67,Fair,Small,16.5,22640,588,4594,High-End
69736171,Wookiee in Texarkana TX,Small,Male,Young,Black,Dachshund,Hound,49,Average,Small,12.63,17350,423,3517,Hound,49,Average,Small,12.63,17350,423,3517,Mid-Price,Hound,49,Average,Small,12.63,17350,423,3517,Saver
69736225,Hazel,Small,Female,Senior,White,Maltese,Toy,59,Fair,Small,12.25,16073,650,2410,Toy,59,Fair,Small,12.25,16073,650,2410,Mid-Price,Toy,59,Fair,Small,12.25,16073,650,2410,Saver
69737541,Kacie (& Teddy- Bonded Pair) Pending,Small,Female,Senior,Red,Cavalier King Charles Spaniel,Toy,44,Average,Small,11.29,16169,1017,3144,Toy,44,Average,Small,11.29,16169,1017,3144,Mid-Price,Toy,44,Average,Small,11.29,16169,1017,3144,Saver
69737550,Teddy (& Kacie -BONDED PAIR) Pending,Small,Male,Senior,Apricot,Bichon Frise,Non-Sporting,45,Average,Small,12.21,17063,693,3400,Non-Sporting,45,Average,Small,12.21,17063,693,3400,Mid-Price,Non-Sporting,45,Average,Small,12.21,17063,693,3400,Saver
69737791,HAZEL,Medium,Female,Baby,Gray,Australian Cattle Dog,Herding,10,Brightest,Medium,11.67,17607,530,4671,Herding,10,Brightest,Medium,11.67,17607,530,4671,Mid-Price,Herding,10,Brightest,Medium,11.67,17607,530,4671,Saver
69737829,SELENE,Medium,Female,Baby,Gray,Australian Cattle Dog,Herding,10,Brightest,Medium,11.67,17607,530,4671,Herding,10,Brightest,Medium,11.67,17607,530,4671,Mid-Price,Herding,10,Brightest,Medium,11.67,17607,530,4671,Saver
69737834,FROSTY,Medium,Female,Baby,Gray,Australian Cattle Dog,Herding,10,Brightest,Medium,11.67,17607,530,4671,Herding,10,Brightest,Medium,11.67,17607,530,4671,Mid-Price,Herding,10,Brightest,Medium,11.67,17607,530,4671,Saver
69737897,DUSTY,Medium,Male,Baby,Gray,Australian Cattle Dog,Herding,10,Brightest,Medium,11.67,17607,530,4671,Herding,10,Brightest,Medium,11.67,17607,530,4671,Mid-Price,Herding,10,Brightest,Medium,11.67,17607,530,4671,Saver
69737991,WASABI,Medium,Female,Baby,Black,Labrador Retriever,Sporting,7,Brightest,Medium,12.04,18422,810,4819,Sporting,7,Brightest,Medium,12.04,18422,810,4819,High-End,Sporting,7,Brightest,Medium,12.04,18422,810,4819,Budget
69740342,Daisy,Medium,Female,Baby,Yellow,Labrador Retriever,Sporting,7,Brightest,Medium,12.04,18422,810,4819,Sporting,7,Brightest,Medium,12.04,18422,810,4819,High-End,Sporting,7,Brightest,Medium,12.04,18422,810,4819,Budget
69742943,Mila,Small,Female,Adult,Black,Chihuahua,Toy,67,Fair,Small,16.5,22640,588,4594,Toy,67,Fair,Small,16.5,22640,588,4594,High-End,Toy,67,Fair,Small,16.5,22640,588,4594,High-End
69742966,Chuk,Small,Male,Adult,Yellow,Chihuahua,Toy,67,Fair,Small,16.5,22640,588,4594,Toy,67,Fair,Small,16.5,22640,588,4594,High-End,Toy,67,Fair,Small,16.5,22640,588,4594,High-End
69742969,Ana Banana the goofy goober,Medium,Female,Adult,Gray,Bull Terrier,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Mid-Price,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Saver
69742971,Spade,Small,Male,Young,White,Wire Fox Terrier,Terrier,51,Average,Small,13.17,18078,668,3809,Terrier,51,Average,Small,13.17,18078,668,3809,High-End,Terrier,51,Average,Small,13.17,18078,668,3809,Budget
69742988,Gek,Small,Male,Adult,Red,Chihuahua,Toy,67,Fair,Small,16.5,22640,588,4594,Toy,67,Fair,Small,16.5,22640,588,4594,High-End,Toy,67,Fair,Small,16.5,22640,588,4594,High-End
69742998,Tio,Small,Male,Young,Tricolor,Maltese,Toy,59,Fair,Small,12.25,16073,650,2410,Toy,59,Fair,Small,12.25,16073,650,2410,Mid-Price,Toy,59,Fair,Small,12.25,16073,650,2410,Saver
69743037,Milo,Small,Male,Young,Yellow,Pug,Toy,57,Fair,Medium,11.0,15421,469,3246,Toy,57,Fair,Medium,11.0,15421,469,3246,Mid-Price,Toy,57,Fair,Medium,11.0,15421,469,3246,Saver
69743043,Mesa JuM,Medium,Female,Baby,Black,German Shepherd,Herding,3,Brightest,Large,9.73,15091,820,3895,Herding,3,Brightest,Large,9.73,15091,820,3895,Mid-Price,Herding,3,Brightest,Large,9.73,15091,820,3895,Saver
69743055,Puppies,Large,Female,Baby,Golden,American Staffordshire Terrier,Terrier,34,Above-Average,Medium,11.48,16605,1043,4224,Terrier,34,Above-Average,Medium,11.48,16605,1043,4224,Mid-Price,Terrier,34,Above-Average,Medium,11.48,16605,1043,4224,Saver
69743056,Samantha*,Large,Female,Adult,Black,Rottweiler,Working,9,Brightest,Large,9.11,16395,1118,5549,Working,9,Brightest,Large,9.11,16395,1118,5549,Mid-Price,Working,9,Brightest,Large,9.11,16395,1118,5549,Saver
69743057,Juniper,Medium,Female,Baby,Black,Rottweiler,Working,9,Brightest,Large,9.11,16395,1118,5549,Working,9,Brightest,Large,9.11,16395,1118,5549,Mid-Price,Working,9,Brightest,Large,9.11,16395,1118,5549,Saver
69743059,Nox ,Large,Male,Adult,Black,American Staffordshire Terrier,Terrier,34,Above-Average,Medium,11.48,16605,1043,4224,Terrier,34,Above-Average,Medium,11.48,16605,1043,4224,Mid-Price,Terrier,34,Above-Average,Medium,11.48,16605,1043,4224,Saver
69743062,Greenbean,Large,Male,Senior,Gray,Bulldog,Non-Sporting,78,Low,Medium,6.29,11977,2680,2518,Non-Sporting,78,Low,Medium,6.29,11977,2680,2518,Budget,Non-Sporting,78,Low,Medium,6.29,11977,2680,2518,Mid-Price
69743063,Giblet,Medium,Male,Senior,White,Australian Cattle Dog,Herding,10,Brightest,Medium,11.67,17607,530,4671,Herding,10,Brightest,Medium,11.67,17607,530,4671,Mid-Price,Herding,10,Brightest,Medium,11.67,17607,530,4671,Saver
69743101,Cash,Medium,Male,Adult,Bicolor,Australian Cattle Dog,Herding,10,Brightest,Medium,11.67,17607,530,4671,Herding,10,Brightest,Medium,11.67,17607,530,4671,Mid-Price,Herding,10,Brightest,Medium,11.67,17607,530,4671,Saver
69743106,Autry,Small,Male,Young,Yellow,Pug,Toy,57,Fair,Medium,11.0,15421,469,3246,Toy,57,Fair,Medium,11.0,15421,469,3246,Mid-Price,Toy,57,Fair,Medium,11.0,15421,469,3246,Saver
69743113,Maggie,Medium,Female,Adult,Harlequin,Poodle,Non-Sporting,2,Brightest,Medium,11.95,18382,900,4783,Non-Sporting,2,Brightest,Medium,11.95,18382,900,4783,High-End,Non-Sporting,2,Brightest,Medium,11.95,18382,900,4783,Budget
69743124,Mesa JuM,Medium,Female,Baby,Black,German Shepherd,Herding,3,Brightest,Large,9.73,15091,820,3895,Herding,3,Brightest,Large,9.73,15091,820,3895,Mid-Price,Herding,3,Brightest,Large,9.73,15091,820,3895,Saver
69743126,Blacky(23),Medium,Female,Baby,Black,Bull Terrier,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Mid-Price,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Saver
69743133,Wilson,Medium,Male,Adult,Black,German Shepherd,Herding,3,Brightest,Large,9.73,15091,820,3895,Herding,3,Brightest,Large,9.73,15091,820,3895,Mid-Price,Herding,3,Brightest,Large,9.73,15091,820,3895,Saver
69743148,Dayton,Medium,Male,Adult,Black,Dachshund,Hound,49,Average,Small,12.63,17350,423,3517,Hound,49,Average,Small,12.63,17350,423,3517,Mid-Price,Hound,49,Average,Small,12.63,17350,423,3517,Saver
69743150,Brock,Large,Male,Baby,Brindle,Boxer,Working,48,Average,Medium,8.81,13641,700,3526,Working,48,Average,Medium,8.81,13641,700,3526,Budget,Working,48,Average,Medium,8.81,13641,700,3526,Mid-Price
69743152,Dabi,Small,Male,Baby,Brown,Doberman Pinscher,Working,5,Brightest,Large,10.33,15929,790,4135,Working,5,Brightest,Large,10.33,15929,790,4135,Mid-Price,Working,5,Brightest,Large,10.33,15929,790,4135,Saver
69743153,Oogie boogie,Small,Male,Baby,Black,Doberman Pinscher,Working,5,Brightest,Large,10.33,15929,790,4135,Working,5,Brightest,Large,10.33,15929,790,4135,Mid-Price,Working,5,Brightest,Large,10.33,15929,790,4135,Saver
69743154,Jinx,Small,Female,Baby,Black,Doberman Pinscher,Working,5,Brightest,Large,10.33,15929,790,4135,Working,5,Brightest,Large,10.33,15929,790,4135,Mid-Price,Working,5,Brightest,Large,10.33,15929,790,4135,Saver
69743155,Ice spice,Small,Male,Baby,Brown,Doberman Pinscher,Working,5,Brightest,Large,10.33,15929,790,4135,Working,5,Brightest,Large,10.33,15929,790,4135,Mid-Price,Working,5,Brightest,Large,10.33,15929,790,4135,Saver
69743156,Bugs,Large,Male,Baby,Yellow,Boxer,Working,48,Average,Medium,8.81,13641,700,3526,Working,48,Average,Medium,8.81,13641,700,3526,Budget,Working,48,Average,Medium,8.81,13641,700,3526,Mid-Price
69743157,Buggy,Large,Male,Baby,Yellow,Boxer,Working,48,Average,Medium,8.81,13641,700,3526,Working,48,Average,Medium,8.81,13641,700,3526,Budget,Working,48,Average,Medium,8.81,13641,700,3526,Mid-Price
69743159,Donkey,Small,Male,Baby,Black,Doberman Pinscher,Working,5,Brightest,Large,10.33,15929,790,4135,Working,5,Brightest,Large,10.33,15929,790,4135,Mid-Price,Working,5,Brightest,Large,10.33,15929,790,4135,Saver
69743166,Scarlett ,Medium,Female,Baby,Brown,American English Coonhound,Hound,54,Average,Large,11.5,15161,283,4688,Hound,54,Average,Large,11.5,15161,283,4688,Mid-Price,Hound,54,Average,Large,11.5,15161,283,4688,Saver
69743172,Penni,Medium,Female,Baby,Black,Border Collie,Herding,1,Brightest,Medium,12.52,17404,623,3486,Herding,1,Brightest,Medium,12.52,17404,623,3486,Mid-Price,Herding,1,Brightest,Medium,12.52,17404,623,3486,Saver
69743173,Sofia,Medium,Female,Adult,Black,Bull Terrier,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Mid-Price,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Saver
69743242,Becky ,Medium,Female,Baby,Black,Labrador Retriever,Sporting,7,Brightest,Medium,12.04,18422,810,4819,Sporting,7,Brightest,Medium,12.04,18422,810,4819,High-End,Sporting,7,Brightest,Medium,12.04,18422,810,4819,Budget
69743243,Tyler,Medium,Male,Young,Bicolor,German Shepherd,Herding,3,Brightest,Large,9.73,15091,820,3895,Herding,3,Brightest,Large,9.73,15091,820,3895,Mid-Price,Herding,3,Brightest,Large,9.73,15091,820,3895,Saver
69743254,Eve,Small,Female,Senior,Yellow,Pug,Toy,57,Fair,Medium,11.0,15421,469,3246,Toy,57,Fair,Medium,11.0,15421,469,3246,Mid-Price,Toy,57,Fair,Medium,11.0,15421,469,3246,Saver
69743261,Alfa,Medium,Female,Baby,Tricolor,American Staffordshire Terrier,Terrier,34,Above-Average,Medium,11.48,16605,1043,4224,Terrier,34,Above-Average,Medium,11.48,16605,1043,4224,Mid-Price,Terrier,34,Above-Average,Medium,11.48,16605,1043,4224,Saver
69743275,Olivia. ,Medium,Female,Baby,Harlequin,American English Coonhound,Hound,54,Average,Large,11.5,15161,283,4688,Hound,54,Average,Large,11.5,15161,283,4688,Mid-Price,Hound,54,Average,Large,11.5,15161,283,4688,Saver
69743286,LEELA,Medium,Female,Baby,Black,Bull Terrier,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Mid-Price,Terrier,66,Fair,Medium,10.21,16051,1085,4087,Saver
69743291,Phineas GS,Medium,Male,Baby,White,Parson Russell Terrier,Terrier,44,Average,Small,11.48,18078,528,3809,Terrier,44,Average,Small,11.48,18078,528,3809,High-End,Terrier,44,Average,Small,11.48,18078,528,3809,Budget
69743293,Malone,Small,Male,Young,Yellow,Pug,Toy,57,Fair,Medium,11.0,15421,469,3246,Toy,57,Fair,Medium,11.0,15421,469,3246,Mid-Price,Toy,57,Fair,Medium,11.0,15421,469,3246,Saver
69743307,Renesmee,Large,Female,Baby,Apricot,Great Pyrenees,Working,64,Fair,Large,10.0,16102,503,5484,Working,64,Fair,Large,10.0,16102,503,5484,Mid-Price,Working,64,Fair,Large,10.0,16102,503,5484,Saver
69743308,Benn ,Medium,Male,Adult,Tricolor,Australian Shepherd,Herding,42,Average,Medium,12.28,18524,565,4915,Herding,42,Average,Medium,12.28,18524,565,4915,High-End,Herding,42,Average,Medium,12.28,18524,565,4915,Budget
69743346,Spot,Large,Male,Adult,Black,Labrador Retriever,Sporting,7,Brightest,Medium,12.04,18422,810,4819,Sporting,7,Brightest,Medium,12.04,18422,810,4819,High-End,Sporting,7,Brightest,Medium,12.04,18422,810,4819,Budget
69743347,Franklin,Small,Male,Senior,Yellow,Pug,Toy,57,Fair,Medium,11.0,15421,469,3246,Toy,57,Fair,Medium,11.0,15421,469,3246,Mid-Price,Toy,57,Fair,Medium,11.0,15421,469,3246,Saver
69743359,Phineas GS,Medium,Male,Baby,White,Parson Russell Terrier,Terrier,44,Average,Small,11.48,18078,528,3809,Terrier,44,Average,Small,11.48,18078,528,3809,High-End,Terrier,44,Average,Small,11.48,18078,528,3809,Budget
69743361,Roxie,Small,Female,Baby,Yellow,Yorkshire Terrier,Toy,27,Above-Average,Small,12.6,17944,1057,3508,Toy,27,Above-Average,Small,12.6,17944,1057,3508,High-End,Toy,27,Above-Average,Small,12.6,17944,1057,3508,Budget
69743362,Drake,Medium,Male,Baby,Brown,Parson Russell Terrier,Terrier,44,Average,Small,11.48,18078,528,3809,Terrier,44,Average,Small,11.48,18078,528,3809,High-End,Terrier,44,Average,Small,11.48,18078,528,3809,Budget
69743365,Chauncey,Large,Male,Young,Tricolor,Siberian Husky,Working,45,Average,Medium,12.58,19043,650,5035,Working,45,Average,Medium,12.58,19043,650,5035,High-End,Working,45,Average,Medium,12.58,19043,650,5035,Budget
69743369,Roxie (TX),Small,Female,Baby,Yellow,Yorkshire Terrier,Toy,27,Above-Average,Small,12.6,17944,1057,3508,Toy,27,Above-Average,Small,12.6,17944,1057,3508,High-End,Toy,27,Above-Average,Small,12.6,17944,1057,3508,Budget
69743375,Mia,Large,Female,Adult,Black,Doberman Pinscher,Working,5,Brightest,Large,10.33,15929,790,4135,Working,5,Brightest,Large,10.33,15929,790,4135,Mid-Price,Working,5,Brightest,Large,10.33,15929,790,4135,Saver
69743381,Wallace,Small,Male,Young,Yellow,Pug,Toy,57,Fair,Medium,11.0,15421,469,3246,Toy,57,Fair,Medium,11.0,15421,469,3246,Mid-Price,Toy,57,Fair,Medium,11.0,15421,469,3246,Saver
69743383,Moke JE*,Medium,Male,Baby,Yellow,Parson Russell Terrier,Terrier,44,Average,Small,11.48,18078,528,3809,Terrier,44,Average,Small,11.48,18078,528,3809,High-End,Terrier,44,Average,Small,11.48,18078,528,3809,Budget
69743394,Noodles,Medium,Female,Young,White,Parson Russell Terrier,Terrier,44,Average,Small,11.48,18078,528,3809,Terrier,44,Average,Small,11.48,18078,528,3809,High-End,Terrier,44,Average,Small,11.48,18078,528,3809,Budget
69743395,Goose,Medium,Male,Young,Black,Ibizan Hound,Hound,53,Average,Large,10.793529411764707,15161,1500,4688,Hound,53,Average,Large,10.793529411764707,15161,1500,4688,Mid-Price,Hound,53,Average,Large,10.793529411764707,15161,1500,4688,Saver
69743404,Maddy,Small,Female,Senior,White,Poodle,Non-Sporting,2,Brightest,Medium,11.95,18382,900,4783,Non-Sporting,2,Brightest,Medium,11.95,18382,900,4783,High-End,Non-Sporting,2,Brightest,Medium,11.95,18382,900,4783,Budget
69743413,Frankie,Medium,Male,Adult,Bicolor,Parson Russell Terrier,Terrier,44,Average,Small,11.48,18078,528,3809,Terrier,44,Average,Small,11.48,18078,528,3809,High-End,Terrier,44,Average,Small,11.48,18078,528,3809,Budget
69743420,Sport,Medium,Male,Adult,Tricolor,Parson Russell Terrier,Terrier,44,Average,Small,11.48,18078,528,3809,Terrier,44,Average,Small,11.48,18078,528,3809,High-End,Terrier,44,Average,Small,11.48,18078,528,3809,Budget
69743424,Sandy,Medium,Female,Adult,Yellow,Siberian Husky,Working,45,Average,Medium,12.58,19043,650,5035,Working,45,Average,Medium,12.58,19043,650,5035,High-End,Working,45,Average,Medium,12.58,19043,650,5035,Budget
69743426,Sarah,Medium,Female,Young,Yellow,Bulldog,Non-Sporting,78,Low,Medium,6.29,11977,2680,2518,Non-Sporting,78,Low,Medium,6.29,11977,2680,2518,Budget,Non-Sporting,78,Low,Medium,6.29,11977,2680,2518,Mid-Price
69743431,Skye,Small,Female,Adult,Yellow,Pug,Toy,57,Fair,Medium,11.0,15421,469,3246,Toy,57,Fair,Medium,11.0,15421,469,3246,Mid-Price,Toy,57,Fair,Medium,11.0,15421,469,3246,Saver
69743531,Joy,Small,Female,Young,Black,Pug,Toy,57,Fair,Medium,11.0,15421,469,3246,Toy,57,Fair,Medium,11.0,15421,469,3246,Mid-Price,Toy,57,Fair,Medium,11.0,15421,469,3246,Saver
69743550,Bucky,Medium,Male,Baby,Tricolor,Beagle,Hound,73,Low,Small,12.3,16777,288,3425,Hound,73,Low,Small,12.3,16777,288,3425,Mid-Price,Hound,73,Low,Small,12.3,16777,288,3425,Saver
